pump_1_pressure,pump_2_pressure,pump_3_pressure,pump_4_pressure,pump_1_frequency,pump_2_frequency,pump_3_frequency,pump_4_frequency,sum_pressure,target_pressure,flow
0.378,0.379,0.016,0.013,43.31,44.14,0.01,0.01,0.349,0.35,2653.36
0.378,0.379,0.016,0.013,43.32,44.15,0.01,0.01,0.351,0.35,2645.25
0.379,0.378,0.016,0.013,43.34,44.15,0.01,0.01,0.351,0.35,2636.57
0.378,0.377,0.016,0.013,43.37,44.15,0.01,0.01,0.35,0.35,2627.89
0.378,0.378,0.016,0.013,43.38,44.15,0.01,0.01,0.35,0.35,2629.05
0.376,0.377,0.016,0.013,43.33,44.15,0.01,0.01,0.35,0.35,2626.74
0.378,0.377,0.016,0.013,43.38,44.16,0.01,0.01,0.351,0.35,2625.58
0.377,0.378,0.016,0.013,43.39,44.16,0.01,0.01,0.35,0.35,2623.26
0.379,0.378,0.016,0.013,43.43,44.16,0.01,0.01,0.349,0.35,2627.31
0.378,0.38,0.016,0.013,43.39,44.15,0.01,0.01,0.35,0.35,2632.52
0.377,0.378,0.016,0.013,43.33,44.09,0.01,0.01,0.35,0.35,2595.49
0.378,0.377,0.016,0.013,43.27,44.09,0.01,0.01,0.35,0.35,2600.69
0.377,0.379,0.016,0.013,43.34,44.08,0.01,0.01,0.35,0.35,2605.9
0.377,0.378,0.016,0.013,43.34,44.07,0.01,0.01,0.35,0.35,2615.74
0.377,0.377,0.016,0.013,43.31,44.06,0.01,0.01,0.349,0.35,2608.8
0.376,0.378,0.016,0.013,43.28,44.06,0.01,0.01,0.35,0.35,2607.64
0.377,0.378,0.016,0.013,43.29,44.08,0.01,0.01,0.35,0.35,2595.49
0.377,0.378,0.016,0.013,43.27,44.06,0.01,0.01,0.35,0.35,2590.86
0.379,0.378,0.016,0.013,43.24,44.06,0.01,0.01,0.35,0.35,2584.49
0.378,0.377,0.016,0.013,43.29,44.08,0.01,0.01,0.35,0.35,2581.02
0.375,0.377,0.016,0.013,43.29,44.08,0.01,0.01,0.349,0.35,2581.6
0.377,0.377,0.016,0.013,43.23,44.08,0.01,0.01,0.35,0.35,2596.64
0.377,0.379,0.016,0.013,43.23,44.07,0.01,0.01,0.35,0.35,2605.32
0.378,0.378,0.016,0.013,43.24,44.08,0.01,0.01,0.35,0.35,2601.85
0.377,0.378,0.016,0.013,43.21,44.06,0.01,0.01,0.35,0.35,2597.22
0.378,0.378,0.016,0.013,43.23,44.07,0.01,0.01,0.35,0.35,2592.01
0.376,0.376,0.016,0.013,43.25,44.07,0.01,0.01,0.349,0.35,2580.44
0.378,0.377,0.016,0.013,43.24,44.06,0.01,0.01,0.35,0.35,2578.13
0.376,0.377,0.016,0.013,43.27,44.08,0.01,0.01,0.35,0.35,2585.07
0.377,0.377,0.016,0.013,43.22,44.06,0.01,0.01,0.35,0.35,2595.49
0.377,0.378,0.016,0.013,43.26,44.08,0.01,0.01,0.351,0.35,2622.69
0.377,0.377,0.016,0.013,43.28,44.06,0.01,0.01,0.35,0.35,2631.37
0.376,0.378,0.016,0.013,43.21,44.06,0.01,0.01,0.35,0.35,2638.89
0.377,0.378,0.016,0.013,43.24,44.07,0.01,0.01,0.35,0.35,2643.52
0.377,0.377,0.016,0.013,43.2,44.06,0.01,0.01,0.35,0.35,2637.15
0.377,0.378,0.016,0.013,43.24,44.06,0.01,0.01,0.35,0.35,2630.21
0.378,0.378,0.016,0.013,43.33,44.06,0.01,0.01,0.35,0.35,2623.84
