pump_1_pressure,pump_2_pressure,pump_3_pressure,pump_4_pressure,pump_1_frequency,pump_2_frequency,pump_3_frequency,pump_4_frequency,sum_pressure,target_pressure,flow
0.43,0.429,0.014,0.012,42.5,42.17,0.01,0.01,0.41,0.41,1410.3
0.432,0.429,0.014,0.012,42.47,42.17,0.01,0.01,0.41,0.41,1409.72
0.432,0.429,0.014,0.012,42.47,42.14,0.01,0.01,0.41,0.41,1410.3
0.431,0.43,0.014,0.012,42.46,42.19,0.01,0.01,0.41,0.41,1409.72
0.432,0.43,0.014,0.012,42.43,42.18,0.01,0.01,0.41,0.41,1403.94
0.432,0.428,0.014,0.012,42.56,42.2,0.01,0.01,0.411,0.41,1404.51
0.431,0.429,0.014,0.012,42.47,42.15,0.01,0.01,0.409,0.41,1398.15
0.433,0.43,0.014,0.012,42.43,42.14,0.01,0.01,0.411,0.41,1402.2
0.433,0.429,0.014,0.012,42.54,42.2,0.01,0.01,0.41,0.41,1404.51
0.431,0.428,0.014,0.012,42.53,42.19,0.01,0.01,0.409,0.41,1408.56
0.432,0.43,0.014,0.012,42.43,42.21,0.01,0.01,0.411,0.41,1412.62
0.432,0.429,0.014,0.012,42.49,42.16,0.01,0.01,0.41,0.41,1412.62
0.431,0.429,0.014,0.012,42.51,42.17,0.01,0.01,0.41,0.41,1412.62
0.431,0.429,0.014,0.012,42.47,42.17,0.01,0.01,0.41,0.41,1409.72
0.432,0.429,0.014,0.012,42.44,42.18,0.01,0.01,0.41,0.41,1405.09
0.432,0.429,0.014,0.012,42.48,42.15,0.01,0.01,0.41,0.41,1391.2
0.431,0.429,0.014,0.012,42.46,42.15,0.01,0.01,0.41,0.41,1384.84
0.431,0.43,0.014,0.012,42.38,42.17,0.01,0.01,0.41,0.41,1385.42
0.432,0.429,0.014,0.012,42.46,42.19,0.01,0.01,0.411,0.41,1390.63
0.432,0.429,0.014,0.012,42.46,42.17,0.01,0.01,0.409,0.41,1392.36
0.432,0.429,0.014,0.012,42.44,42.16,0.01,0.01,0.41,0.41,1391.78
0.432,0.429,0.014,0.012,42.49,42.2,0.01,0.01,0.41,0.41,1389.47
0.432,0.431,0.014,0.012,42.42,42.19,0.01,0.01,0.411,0.41,1385.42
0.433,0.43,0.014,0.012,42.44,42.19,0.01,0.01,0.41,0.41,1380.79
0.431,0.429,0.014,0.012,42.66,42.25,0.01,0.01,0.411,0.41,1449.07
0.431,0.429,0.014,0.012,42.59,42.24,0.01,0.01,0.41,0.41,1451.39
0.432,0.43,0.014,0.012,42.71,42.25,0.01,0.01,0.41,0.41,1451.97
0.432,0.429,0.014,0.012,42.62,42.23,0.01,0.01,0.41,0.41,1447.92
0.432,0.429,0.014,0.012,42.59,42.25,0.01,0.01,0.41,0.41,1448.5
0.431,0.429,0.014,0.012,42.63,42.26,0.01,0.01,0.409,0.41,1443.29
0.432,0.429,0.014,0.012,42.57,42.25,0.01,0.01,0.41,0.41,1438.08
0.432,0.429,0.014,0.012,42.55,42.26,0.01,0.01,0.41,0.41,1434.03
0.43,0.428,0.014,0.012,42.5,42.23,0.01,0.01,0.41,0.41,1429.98
0.432,0.43,0.014,0.012,42.61,42.24,0.01,0.01,0.411,0.41,1428.24
0.431,0.429,0.014,0.012,42.54,42.27,0.01,0.01,0.41,0.41,1432.29
0.432,0.43,0.014,0.012,42.62,42.23,0.01,0.01,0.411,0.41,1433.45
0.432,0.429,0.014,0.012,42.62,42.26,0.01,0.01,0.409,0.41,1442.13
0.432,0.429,0.014,0.012,42.56,42.24,0.01,0.01,0.409,0.41,1445.6
0.431,0.429,0.014,0.012,42.6,42.27,0.01,0.01,0.411,0.41,1436.92
0.432,0.429,0.014,0.012,42.59,42.25,0.01,0.01,0.409,0.41,1427.66
0.431,0.429,0.014,0.012,42.54,42.24,0.01,0.01,0.41,0.41,1427.66
0.431,0.43,0.014,0.012,42.57,42.24,0.01,0.01,0.411,0.41,1421.3
0.432,0.43,0.014,0.012,42.62,42.23,0.01,0.01,0.41,0.41,1411.46
0.432,0.43,0.014,0.012,42.53,42.23,0.01,0.01,0.409,0.41,1409.72
0.432,0.43,0.014,0.012,42.57,42.26,0.01,0.01,0.41,0.41,1414.93
0.431,0.429,0.014,0.012,42.59,42.24,0.01,0.01,0.41,0.41,1420.72
0.432,0.429,0.014,0.012,42.56,42.27,0.01,0.01,0.41,0.41,1421.3
